/home/sjf/eegall/main.py:478: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  use_label = torch.tensor(all_labels[i,:,0],dtype=int)
/home/sjf/eegall/main.py:480: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  use_label = torch.tensor(all_labels[i,:],dtype=int)
/home/sjf/eegall/main.py:125: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  base_val_data = torch.tensor(base_val_data)
/home/sjf/eegall/main.py:126: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  harm_val_data = torch.tensor(harm_val_data)
/home/sjf/eegall/main.py:127: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  val_graph = torch.tensor(val_graph)
/home/sjf/eegall/main.py:128: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  val_labels = torch.tensor(val_labels)
/home/sjf/eegall/main.py:125: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  base_val_data = torch.tensor(base_val_data)
/home/sjf/eegall/main.py:126: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  harm_val_data = torch.tensor(harm_val_data)
/home/sjf/eegall/main.py:127: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  val_graph = torch.tensor(val_graph)
/home/sjf/eegall/main.py:128: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  val_labels = torch.tensor(val_labels)
--------- FACED DATA ---------

*********** ALL Loaded data ***************

base_x: torch.Size([123, 312, 32, 7]), harm_x: torch.Size([123, 312, 32, 7]) all_labels: torch.Size([123, 312]) 
 base_graph: torch.Size([123, 312, 32, 32]) harm_graph: torch.Size([123, 312, 32, 32])

this is with limit version
Uing base graph and base feature for Time Graph part and harm feature for encoding!
******** mix subject_0 ********

[156, 156]
******fold 1******

Training... train_data length:280
step: 0, Loss: 0.11656580865383148
step: 100, Loss: 0.12341722846031189
step: 200, Loss: 0.11670227348804474
step: 300, Loss: 0.11661119759082794
step: 400, Loss: 0.11532986909151077
step: 500, Loss: 0.11646652221679688
step: 600, Loss: 0.11533939838409424
step: 700, Loss: 0.11600762605667114
step: 800, Loss: 0.11564227938652039
step: 900, Loss: 0.11537440121173859
step: 1000, Loss: 0.11562545597553253
step: 1100, Loss: 0.11475434899330139
step: 1200, Loss: 0.11556224524974823
step: 1300, Loss: 0.11700368672609329
step: 1400, Loss: 0.1187339723110199
step: 1500, Loss: 0.11461605876684189
step: 1600, Loss: 0.11548617482185364
step: 1700, Loss: 0.11613388359546661
step: 1800, Loss: 0.11561667919158936
step: 1900, Loss: 0.11503061652183533
step: 2000, Loss: 0.11464395374059677
step: 2100, Loss: 0.11645257472991943
step: 2200, Loss: 0.11478715389966965
step: 2300, Loss: 0.11596880853176117
step: 2400, Loss: 0.1185062974691391
step: 2500, Loss: 0.11703523993492126
step: 2600, Loss: 0.11500483006238937
step: 2700, Loss: 0.11736295372247696
step: 2800, Loss: 0.11426515132188797
step: 2900, Loss: 0.11730770766735077
step: 3000, Loss: 0.38226309418678284
step: 3100, Loss: 0.14844247698783875
step: 3200, Loss: 0.15267367660999298
step: 3300, Loss: 0.14065812528133392
step: 3400, Loss: 0.15033414959907532
step: 3500, Loss: 0.13113030791282654
step: 3600, Loss: 0.13752613961696625
step: 3700, Loss: 0.12797626852989197
step: 3800, Loss: 0.130417600274086
step: 3900, Loss: 0.12078259885311127
step: 4000, Loss: 0.12836353480815887
step: 4100, Loss: 0.11972008645534515
step: 4200, Loss: 0.12407183647155762
step: 4300, Loss: 0.11697334051132202
step: 4400, Loss: 0.12180881947278976
step: 4500, Loss: 0.1159207671880722
step: 4600, Loss: 0.12317563593387604
step: 4700, Loss: 0.11667550355195999
step: 4800, Loss: 0.11902114003896713
step: 4900, Loss: 0.11390658468008041
step: 5000, Loss: 0.11941342055797577
step: 5100, Loss: 0.11415750533342361
step: 5200, Loss: 0.11841708421707153
step: 5300, Loss: 0.11547748744487762
step: 5400, Loss: 0.11703905463218689
step: 5500, Loss: 0.11406709253787994
step: 5600, Loss: 0.11554187536239624
step: 5700, Loss: 0.11425239592790604
step: 5800, Loss: 0.11542792618274689
step: 5900, Loss: 0.1149686872959137
step: 6000, Loss: 0.11484948545694351
step: 6100, Loss: 0.11428910493850708
step: 6200, Loss: 0.1139383390545845
step: 6300, Loss: 0.11396781355142593
step: 6400, Loss: 0.1139468252658844
step: 6500, Loss: 0.11314932256937027
step: 6600, Loss: 0.11348595470190048
